Id,Name,Occurrences,Interests
f0Bfv3kAAAAJ,Russ Marion,2,[]
ZQ2KiOsAAAAJ,Jan van Aalst,1,['education']
_DsB4dEAAAAJ,Jody Hoffer Gittell,1,"['coordination', 'relational coordination', 'organizational performance', 'organizational change']"
_lbjY-0AAAAJ,JE Thistlethwaite,6,"['medical education', 'interprofessional education']"
tnnB8VYAAAAJ,Kristina Adams Waldorf,1,"['preterm birth', 'pregnancy', 'infection', 'Group B streptococcus', 'Zika virus']"
uLUuZxcAAAAJ,Robert Ford,1,"['First interest', 'Second interest']"
KaVQxF4AAAAJ,Ronald F. Piccolo,1,"['Leadership', 'personality', 'motivation']"
E7jz9aIAAAAJ,Jose Luis Daniel,1,"['Workplace spirituality', 'subcultures', 'leadership']"
MLa0MysAAAAJ,Todd Creasy,1,"['project management', 'management', 'organizational behavior', 'human resources']"
Y6pAGQEAAAAJ,Vittal S. Anantatmula,2,"['projects', 'project management', 'project teams', 'project leadership']"
5Qviur4AAAAJ,Thomas L. Baker,1,"['Marketing', 'Services Marketing']"
M5HO6yYAAAAJ,Adam Rapp,1,"['Sales Force Performance', 'Strategy', 'Technology']"
ZrAOXyUAAAAJ,Tracy Meyer,1,['consumer behavior']
hpfcZQ0AAAAJ,Ryan Mullins,1,"['Sales Force Management', 'Sales Teams', 'Salesperson Performance']"
CeCRbeAAAAAJ,somveer kishnah,1,"['Artificial Intelligence', 'HCI']"
ImBQ8eEAAAAJ,Associate Professor (Dr) Sameerchand Pudaruth,1,"['Artificial Intelligence', 'Machine Learning', 'Deep Learning', 'Computer Vision and Image Processing']"
oSr17h8AAAAJ,Kelly Bedard,2,['labor economics']
C2P59v8AAAAJ,Gary Charness,2,['Experimental Economics']
cGu5Y10AAAAJ,Patrick Renz,1,"['Governance', 'Leadership', 'Strategy', 'Business Ethics']"
XVh4rYIAAAAJ,"Philip S. DeOrtentiis, Ph.D.",1,"['Staffing', 'Social Class', 'Job Search', 'Human Capital', 'Demographic Differences']"
g5MbSeMAAAAJ,James K Summers,1,"['Organizational Behavior', 'Human Resource Management']"
WiKxe6YAAAAJ,Anthony P (Tony) Ammeter,1,"['Organizational Behavior', 'Information Systems', 'Management']"
nYMDbHgAAAAJ,Tom O'Neill,1,['Psychology']
kaJRX24AAAAJ,Matthew McLarnon,1,"['Human Resource Management', 'I/O Psychology']"
vJtoiSEAAAAJ,Timothy M. Franz,1,"['Groups and Teams', 'Improving Team Culture', 'Improving Teaching']"
9rzI2C0AAAAJ,Robert Kaiser,1,['Leadership and organizational performance']
Mi6SDZQAAAAJ,Teresa Ukrainetz,1,"['child language intervention', 'language-related learning disabilities']"
JHM0uuMAAAAJ,Kate Thornton,2,[]
CeXE60wAAAAJ,Sue Cherrington,1,"['early childhood education', 'professional learning', 'ethics']"
mnBrIbUAAAAJ,Kenneth J.  Chapman,1,"['Marketing', 'Consumer Behavior', 'Business Education']"
PNOtGq8AAAAJ,William H. Berman,1,['psychology']
r09prggAAAAJ,Scott J. Allen,1,"['Leadership Development', 'Leadership Education', 'Deliberate Practice']"
ALcemoYAAAAJ,Rosanna Miguel,1,"['Employee selection', 'Leadership development', 'Recruitment', 'Management Education']"
RGPo35MAAAAJ,Debra A. Harkins,3,"['Social justice', 'Service learning', 'narrative research']"
Y8lCQ0wAAAAJ,Bhagwan Satiani,2,"['Vascular Disease', 'Surgery']"
--OKXnIAAAAJ,Prof. Dr. Othmar M. Lehner,1,"['Accounting and Organisational Theory', 'Sustainability Accounting and Impact Investing', 'Ethics and AI']"
_Q_uaGUAAAAJ,Wowek Sean Kearney,1,"['school climate', 'school culture', 'bullying', 'school leadership']"
EpFG0A4AAAAJ,Maura MacPhee,1,"['health human resources', 'healthcare leadership/administration', 'nursing workforce', 'higher education']"
XyFgEU0AAAAJ,Dr.Victor Lazarus,2,['Human Resources Management']
-tvC8ZgAAAAJ,Michael B Harris,1,"['Physiology', 'Neuroscience']"
MAeIzQMAAAAJ,John Bryson,1,"['Strategic planning', 'strategic management', 'leadership', 'collaboration', 'public management']"
5gzPytgAAAAJ,Fran Ackermann,1,"['strategy', 'risk management', 'problem structuring', 'negotiation']"
iEYUdaYAAAAJ,Colin Eden,1,"['strategy', 'project management', 'operations research', 'action research']"
BI1K3IsAAAAJ,Amanda Hund,1,"['host-parasite interactions', 'evolution', 'behavioral ecology', 'speciation']"
7H37aigAAAAJ,Amber Churchill,1,['Plant Community-Ecosystem Ecology']
fJYUc-cAAAAJ,Akasha Faist,1,['Rangeland Restoration ecology']
MlMDXeEAAAAJ,Lynn E. Metcalf,1,"['marketing', 'entrepreneurship']"
bzmH088AAAAJ,Hussein A. Abbass,1,"['Artificial Intelligence', 'Autonomous Systems', 'Cognitive Engineering', 'Human-Swarm Interaction', 'Trusted Autonomy']"
QAwizhcAAAAJ,Eleni Petraki,1,"['Conversation Analysis', 'Linguistics', 'TESOL', 'Trusted autonomy']"
d9LhwwMAAAAJ,Monica Moran,1,"['Interprofessional health teams', 'rural & remote', 'person-centred', 'occupational therapy']"
