Type,Title,Authors,Year,Venue,Abstract,Url,Author_Ids,Scholar_Url,Citations
Publication,Complexity leadership theory: Shifting leadership from the industrial age to the knowledge era,"['M Uhl-Bien', 'R Marion', 'B McKelvey']",2007,The leadership quarterly,"Leadership models of the last century have been products of top-down, bureaucratic paradigms. These models are eminently effective for an economy premised on physical",https://www.sciencedirect.com/science/article/pii/S1048984307000689,"['', 'f0Bfv3kAAAAJ', '']",/scholar?hl=en&q=info:YXCSGAwblSYJ:scholar.google.com/&output=cite&scirp=0&hl=en,3266
Publication,Agile project management: creating innovative products,['J Highsmith'],2009,NA,"Best practices for managing projects in agile environments—now updated with new techniques for larger projects Today, the pace of project management moves faster. Project",https://books.google.com/books?hl=en&lr=&id=VuFpkztwPaUC&oi=fnd&pg=PT36&ots=CvFH_jUh1I&sig=p1-eGGmOFHZsjNmkSUkhZum9mmg,[''],/scholar?hl=en&q=info:TscNjjT4_kYJ:scholar.google.com/&output=cite&scirp=1&hl=en,1677
Publication,Profound improvement: Building capacity for a learning community,"['C Mitchell', 'L Sackney']",2011,NA,"The book discusses the idea of the learning community as a vehicle for professional learning and school development. As the authors show, the learning community develops in",https://www.taylorfrancis.com/books/mono/10.4324/9780203826027/profound-improvement-coral-mitchell-larry-sackney,"['', '']",/scholar?hl=en&q=info:qIIwGgKg3ycJ:scholar.google.com/&output=cite&scirp=2&hl=en,1079
Publication,Can health care teams improve primary care practice?,"['K Grumbach', 'T Bodenheimer']",2004,Jama,"In health care settings, individuals from different disciplines come together to care for patients. Although these groups of health care personnel are generally called teams, they",https://jamanetwork.com/journals/jama/article-abstract/198334,"['', '']",/scholar?hl=en&q=info:WlXIabs1CacJ:scholar.google.com/&output=cite&scirp=3&hl=en,987
Publication,"Management 3.0: leading Agile developers, developing Agile leaders",['J Appelo'],2011,NA,"In many organizations, management is the biggest obstacle to successful Agile development. Unfortunately, reliable guidance on Agile management has been scarce",https://books.google.com/books?hl=en&lr=&id=2X4hBQAAQBAJ&oi=fnd&pg=PR11&ots=THzF-QbqZ9&sig=m4zg7s09VkkSK00tA1DH4a_bsvk,[''],/scholar?hl=en&q=info:hir_blefIB4J:scholar.google.com/&output=cite&scirp=4&hl=en,387
Publication,"Distinguishing knowledge-sharing, knowledge-construction, and knowledge-creation discourses",['J Van Aalst'],2009,… Journal of Computer-Supported Collaborative Learning,The study reported here sought to obtain the clear articulation of asynchronous computer-mediated discourse needed for Carl Bereiter and Marlene Scardamalia's knowledge,https://link.springer.com/article/10.1007/s11412-009-9069-5,['ZQ2KiOsAAAAJ'],/scholar?hl=en&q=info:ofDOcjNmr3gJ:scholar.google.com/&output=cite&scirp=5&hl=en,378
Publication,Leadership agility: five levels of mastery,['B Joiner'],2008,Strategic Direction,"The authors make a strong claim that leadership agility is about developing capacities, competencies and capabilities of people who have a functional responsibility for managing",https://www.emerald.com/insight/content/doi/10.1108/sd.2008.05624jae.001/full/html,[''],/scholar?hl=en&q=info:Vr4-aqSiW_YJ:scholar.google.com/&output=cite&scirp=6&hl=en,383
Publication,Executive coaching with backbone and heart: A systems approach to engaging leaders with their challenges,"[""MBA O'Neill""]",2011,NA,"Praise for Executive Coaching with Backbone and Heart"" In this book, O'Neill brings form and structure to the art of executive coaching. Novices are provided a path while seasoned",https://books.google.com/books?hl=en&lr=&id=4B4l0J0cILYC&oi=fnd&pg=PT9&ots=QvN0ok8y5c&sig=J2A_SK2ZSfFa_p7kt7RsQbDw4VY,[''],/scholar?hl=en&q=info:ZDSFG1LNcUcJ:scholar.google.com/&output=cite&scirp=7&hl=en,364
Publication,Leadership team coaching: Developing collective transformational leadership,['P Hawkins'],2021,NA,Organizations are most effective when the teams responsible for their success work together collectively and in a dynamic relationship with the rest of the company. For those involved in,https://books.google.com/books?hl=en&lr=&id=1xgwEAAAQBAJ&oi=fnd&pg=PP1&ots=r3zeohllPe&sig=IO6lann5cLFs4zeT5XKyLoKJD9U,[''],/scholar?hl=en&q=info:Ynf6x6xTWQsJ:scholar.google.com/&output=cite&scirp=8&hl=en,336
Publication,Total quality management in education,['M Mukhopadhyay'],2020,NA,"This is a complete revised edition of a popular text on Total Quality Management (TQM). First published in 2001, the book has been translated into many languages and highly praised by",https://books.google.com/books?hl=en&lr=&id=feXkDwAAQBAJ&oi=fnd&pg=PP1&ots=x_W2zq7a_k&sig=JqRWQ8sbqYkpx09zqJSQ7nsMm14,[''],/scholar?hl=en&q=info:UhQBSNIb2isJ:scholar.google.com/&output=cite&scirp=9&hl=en,338
Publication,The founder's dilemmas: Anticipating and avoiding the pitfalls that can sink a startup,['N Wasserman'],2012,NA,A guide to the early decisions that can make or break startup ventures Often downplayed in the excitement of starting up a new business venture is one of the most important decisions,https://books.google.com/books?hl=en&lr=&id=lZjqTQzJW5wC&oi=fnd&pg=PP1&ots=ozcTr0eVW0&sig=oIIPdxt3mIGCTJZ1krtOsQdBfHw,['JyNGe3UAAAAJ'],/scholar?hl=en&q=info:iTad_fLPv5UJ:scholar.google.com/&output=cite&scirp=10&hl=en,315
Publication,Scaling lean & agile development: thinking and organizational tools for large-scale Scrum,['C Larman'],2008,NA,,,[''],/scholar?hl=en&q=info:x3hJ1HTdZWgJ:scholar.google.com/&output=cite&scirp=11&hl=en,321
